'Type','Perturbation','ICClower'
'enhancement geometry','deform_sigma',0.980996122689485
'enhancement geometry','voxelsize',0.98481778218095
'enhancement geometry','zspacing',0.995938087761673
'centroid','deform_sigma',0.997599640356695
'centroid','voxelsize',0.999292581754544
'centroid','zspacing',0.999587379232934
'firstorder','bindwidth',0.913088718405253
'firstorder','deform_sigma',0.872030688866236
'firstorder','noise',0.912132405763652
'firstorder','samplingrate',0.838934775129462
'firstorder','voxelsize',0.480951407261358
'firstorder','zspacing',0.624664819434655
'glcm','bindwidth',0.322314009087147
'glcm','deform_sigma',0.812762622416705
'glcm','noise',0.750300425331841
'glcm','samplingrate',0.817246200644459
'glcm','voxelsize',0.499745337905225
'glcm','zspacing',0.618851799671229
'gldm','bindwidth',0.305283764224788
'gldm','deform_sigma',0.783060808195471
'gldm','noise',0.737705923782239
'gldm','samplingrate',0.738511762209383
'gldm','voxelsize',0.486756462560543
'gldm','zspacing',0.628721398408401
'glrlm','bindwidth',0.295395705634926
'glrlm','deform_sigma',0.796854805713012
'glrlm','noise',0.776366564565697
'glrlm','samplingrate',0.746976825740714
'glrlm','voxelsize',0.45056545823548
'glrlm','zspacing',0.5979795019151
'glszm','bindwidth',0.276048193577536
'glszm','deform_sigma',0.831221867470813
'glszm','noise',0.718168543234821
'glszm','samplingrate',0.74562017764337
'glszm','voxelsize',0.458821439950942
'glszm','zspacing',0.590334901987456
'l6','deform_sigma',0.686054213331479
'l6','samplingrate',0.863006535573396
'l6','noise',0.766783974813752
'l6','voxelsize',0.48199808321225
'l6','zspacing',0.688547439605555
'l7','deform_sigma',0.655262139251121
'l7','samplingrate',0.843350529329053
'l7','noise',0.760034222250247
'l7','voxelsize',0.515492910405963
'l7','zspacing',0.657129768253455
'ngtdm','bindwidth',0.3200956282143
'ngtdm','deform_sigma',0.820557512791302
'ngtdm','noise',0.846507718528948
'ngtdm','samplingrate',0.845475153827641
'ngtdm','voxelsize',0.460918869248801
'ngtdm','zspacing',0.623592979751726
'shape','deform_sigma',0.980618071885919
'shape','voxelsize',0.972305576600998
'shape','zspacing',0.964790304748029
